V1,Treatment,Condition,Duration,Dose,narrow_group,broad_group
IL1B@Condition:Human_Epithelial_A549@GSE101868.RNASeq.SRP113550_GRCh38,IL1B,_Epithelial_A549,,,A549,Lung_tumor
IFNA&Dose:1000IU/mL_Duration:24 h@Condition:A549@GSE60572.MicroArray.GPL10558,IFNA,A549,24h,1000IU/mL,A549,Lung_tumor
IFNA&Dose:1000IU/mL_Duration:6 h@Condition:A549@GSE60572.MicroArray.GPL10558,IFNA,A549,6h,1000IU/mL,A549,Lung_tumor
IFNA&Dose:100IU/mL_Duration:24 h@Condition:A549@GSE60572.MicroArray.GPL10558,IFNA,A549,24h,100IU/mL,A549,Lung_tumor
IFNA&Dose:100IU/mL_Duration:6 h@Condition:A549@GSE60572.MicroArray.GPL10558,IFNA,A549,6h,100IU/mL,A549,Lung_tumor
IFNA@Condition:A549&Duration:24h@GSE5542.MicroArray.GPL96,IFNA,A549,24h,,A549,Lung_tumor
IFNA@Condition:A549&Duration:6h@GSE5542.MicroArray.GPL96,IFNA,A549,6h,,A549,Lung_tumor
IFNB@Condition:A549&Duration:24h@GSE12664.MicroArray.GPL6480,IFNB,A549,24h,,A549,Lung_tumor
IFNB@Condition:A549&Duration:6h@GSE12664.MicroArray.GPL6480,IFNB,A549,6h,,A549,Lung_tumor
IFNB&Dose:500U/mL@Condition:A549@GSE35267.MicroArray.GPL10558,IFNB,A549,,500U/mL,A549,Lung_tumor
IFNG@Condition:A549&Duration:24h@GSE5542.MicroArray.GPL96,IFNG,A549,24h,,A549,Lung_tumor
IFNG@Condition:A549&Duration:6h@GSE5542.MicroArray.GPL96,IFNG,A549,6h,,A549,Lung_tumor
IL1B@Condition:A549&Duration:6h@GSE120269.RNASeq.SRP162275_GRCh38,IL1B,A549,6h,,A549,Lung_tumor
TGFB1@Condition:A549@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,A549,,,A549,Lung_tumor
TGFB1&Dose:2.5 ng/ml_Duration:5d@Condition:A549@GSE100292.RNASeq.SRP110004_GRCh38,TGFB1,A549,5d,2.5 ng/mL,A549,Lung_tumor
TGFB1@Condition:A549 cells@GSE119145.RNASeq.SRP159066_GRCh38,TGFB1,A549,,,A549,Lung_tumor
TGFB1&Dose:10ng/ml_Duration:4h@Condition:A549@GSE5450.MicroArray.HG-U133A,TGFB1,A549,4h,10ng/mL,A549,Lung_tumor
TGFB1@Condition:A549 cells@GSE135402.RNASeq.SRP217502_GRCh38,TGFB1,A549,,,A549,Lung_tumor
TGFB1@Condition:A549@GSE5457.MicroArray.HG-U133A,TGFB1,A549,,,A549,Lung_tumor
TGFB1&Duration:0.5h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,0.5h,,A549,Lung_tumor
TGFB1&Duration:16h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,16h,,A549,Lung_tumor
TGFB1&Duration:1h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,1h,,A549,Lung_tumor
TGFB1&Duration:24h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,24h,,A549,Lung_tumor
TGFB1&Duration:2h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,2h,,A549,Lung_tumor
TGFB1&Duration:4h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,4h,,A549,Lung_tumor
TGFB1&Duration:72h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,72h,,A549,Lung_tumor
TGFB1&Duration:8h@Condition:A549@GSE17708.MicroArray.HG-U133_Plus_2,TGFB1,A549,8h,,A549,Lung_tumor
TNFA@Condition:A549@GSE32254.MicroArray.HuGene-1_0-st-v1,TNFA,A549,,,A549,Lung_tumor
TNFA@Condition:A549&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNFA,A549,24h,,A549,Lung_tumor
TNFA@Condition:A549&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNFA,A549,4h,,A549,Lung_tumor
WNT3A&Duration:24h@Condition:A549@GSE67571.MicroArray.GPL10558,WNT3A,A549,24h,,A549,Lung_tumor
TNFA@Condition:A549 nonsmall lung cancer cell line@GSE34329.RNASeq.SRP009790_GRCh38,TNFA,A549 Nonsmall Lung Cancer,,,A549,Lung_tumor
TGFB1@Condition:Activated Macrophage@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,Activated Macrophage,,,,Mac_Mono
IL13&Dose:20ng/mL@Condition:Human airway epithelia cell&Duration:21d@GSE106812.MicroArray.HuGene-1_0-st-v1,IL13,Airway Epithelia,21d,20ng/mL,Lung_Epithelial,Epithelial
IL13@Condition:Airway Epithelia&Duration:48h@GSE116927.RNASeq.SRP153060_GRCh38,IL13,Airway Epithelia,48h,,Lung_Epithelial,Epithelial
IL1B&Duration:8h@Condition:Airway Smooth Muscle.Asthmatic@GSE63383.MicroArray.HuGene-1_0-st-v1,IL1B,Airway Smooth Muscle.Asthmatic,8h,,,Smooth_muscle
TGFB1&Duration:8h@Condition:Airway Smooth Muscle.Asthmatic@GSE63383.MicroArray.HuGene-1_0-st-v1,TGFB1,Airway Smooth Muscle.Asthmatic,8h,,,Smooth_muscle
IL1B&Duration:8h@Condition:Airway Smooth Muscle.Healthy@GSE63383.MicroArray.HuGene-1_0-st-v1,IL1B,Airway Smooth Muscle.Healthy,8h,,,Smooth_muscle
TGFB1&Duration:8h@Condition:Airway Smooth Muscle.Healthy@GSE63383.MicroArray.HuGene-1_0-st-v1,TGFB1,Airway Smooth Muscle.Healthy,8h,,,Smooth_muscle
IFNG&Dose:20 ng/mL_Duration:24h@Condition:Alveolar macrophage@GSE64995.MicroArray.HuEx-1_0-st-v1,IFNG,Alveolar Macrophage,24h,20ng/mL,,Mac_Mono
CXCL12&Duration:120min@Condition:B cells@GSE120368.MicroArray.GPL10558,CXCL12,B,120m,,,Bcell
CXCL12&Duration:30min@Condition:B cells@GSE120368.MicroArray.GPL10558,CXCL12,B,30m,,,Bcell
CXCL12&Duration:360min@Condition:B cells@GSE120368.MicroArray.GPL10558,CXCL12,B,360m,,,Bcell
IFNA@Condition:B-cell@GSE117637.RNASeq.SRP155182_GRCh38,IFNA,B,,,,Bcell
